ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NewLoanApplication,Quintil,int_rc,Tasa_Interes_Completa
10200,740,0.0467685176867961,141130,42,6,14,18933,0,5,Mortgage,Masters,Single,22,170397.0,1,0.07990142984596034,0.22990142984596035
10201,752,0.2404791160931102,160053,65,5,18,17595,10,2,Mortgage,High School,Widowed,13,351900.0,1,0.07,0.22
10202,376,0.1490869420817322,115618,72,9,2,5550,5,8,Rent,Masters,Widowed,9,77700.0,1,0.07,0.22
10203,843,0.1835905515897345,187047,28,0,5,11746,0,11,Mortgage,High School,Widowed,9,105714.0,5,0.22346018954852917,0.37346018954852916
10204,745,0.0494042141558158,98822,23,1,3,4088,8,0,Mortgage,Masters,Divorced,2,81760.0,5,0.22745013013853893,0.3774501301385389
10205,775,0.2383484227222302,190759,79,5,10,13717,15,19,Rent,High School,Widowed,24,68585.0,1,0.0952495735087791,0.2452495735087791
10206,743,0.040181944387686,58976,75,1,8,9961,18,3,Rent,Masters,Widowed,0,199220.0,3,0.22378703943279588,0.3737870394327959
10207,427,0.7302881052912785,170656,24,8,6,19758,2,0,Mortgage,Masters,Widowed,10,355644.0,1,0.07,0.22
10208,698,0.871234973791143,145527,39,9,17,7116,9,0,Mortgage,Masters,Widowed,9,92508.0,1,0.07,0.22
10209,539,0.0748321606731531,198003,52,2,7,16458,7,26,Rent,High School,Widowed,17,213954.0,4,0.24498376509609168,0.3949837650960917
10210,469,0.1013655812020063,146462,24,1,4,10328,8,1,Own,High School,Widowed,8,41312.0,4,0.24309873342452967,0.39309873342452967
10211,644,0.8336198521287846,153423,19,5,5,18795,11,3,Own,Bachelor,Widowed,2,319515.0,5,0.25027419750986696,0.4002741975098669
10212,729,0.0197290388920994,190188,20,2,2,8277,4,25,Rent,Bachelor,Widowed,1,140709.0,5,0.23149113061425267,0.38149113061425266
10213,304,0.3168016655489973,133478,33,5,0,18932,12,10,Rent,Masters,Widowed,17,132524.0,5,0.2133948253748569,0.3633948253748569
10214,599,0.0200965318117612,103378,56,7,6,16593,2,8,Rent,Masters,Widowed,21,232302.0,1,0.07,0.22
10215,335,0.3217742275369692,55202,47,7,10,8546,13,1,Own,Masters,Widowed,26,25638.0,4,0.24784270084480028,0.3978427008448003
10216,334,0.124052567483076,74097,30,1,7,3503,13,1,Mortgage,Masters,Widowed,25,49042.0,3,0.22414625663106216,0.37414625663106216
10217,436,0.1557390515531751,161835,58,4,5,14847,11,10,Rent,Masters,Widowed,15,326634.0,4,0.2428335144002289,0.3928335144002289
10218,606,0.3401899398898085,52429,18,5,14,7747,5,23,Mortgage,Masters,Widowed,24,92964.0,4,0.24699247492973728,0.39699247492973727
10219,651,0.7589173919333791,174830,34,1,13,7449,16,3,Rent,Masters,Widowed,12,89388.0,2,0.1983528826653746,0.34835288266537456
10220,754,0.5791047931272553,49710,30,5,18,11591,4,0,Rent,High School,Widowed,26,162274.0,3,0.22585678024388922,0.37585678024388924
10221,790,0.6130854293459328,189700,22,8,0,19802,14,4,Own,High School,Divorced,17,336634.0,5,0.24247716047197995,0.39247716047197995
10222,605,0.7679188530318832,83875,30,7,5,19966,9,16,Mortgage,Masters,Divorced,14,119796.0,3,0.22887706878876682,0.3788770687887668
10223,602,0.086176938949656,40201,62,2,4,10461,14,17,Rent,PhD,Widowed,26,177837.0,5,0.2473185750979226,0.39731857509792257
10224,688,0.5854493305971693,163194,77,7,13,17797,0,16,Rent,Masters,Divorced,12,177970.0,2,0.20439388663367516,0.35439388663367516
10225,464,0.3140672498628394,67121,32,6,2,19996,7,6,Own,High School,Widowed,0,59988.0,2,0.19511768512529534,0.34511768512529534
10226,573,0.0523907134679125,154458,87,7,8,15797,13,19,Rent,High School,Widowed,22,347534.0,2,0.19878532988524553,0.3487853298852455
10227,812,0.134163542879926,178430,58,1,15,11114,12,1,Rent,Masters,Married,19,188938.0,3,0.2305789591879155,0.3805789591879155
10228,450,0.2887101010016728,62751,37,7,16,14499,3,5,Rent,Masters,Divorced,10,188487.0,1,0.10471557637063456,0.2547155763706346
10229,620,0.2432719596508283,93652,41,7,8,16840,8,0,Own,Masters,Widowed,25,303120.0,2,0.1962384329368095,0.3462384329368095
10230,848,0.4981480110910429,79906,49,9,12,11115,0,13,Mortgage,High School,Widowed,19,166725.0,3,0.2252493207811479,0.3752493207811479
10231,389,0.0055430554174351,109989,29,1,7,11823,0,6,Rent,PhD,Widowed,11,94584.0,3,0.22453190134985979,0.3745319013498598
10232,687,0.0100537815322148,45731,83,9,8,9980,6,15,Mortgage,High School,Divorced,17,219560.0,5,0.2553685268905894,0.40536852689058944
10233,723,0.0338657160043183,135677,26,7,15,17032,5,9,Rent,Masters,Single,5,102192.0,1,0.07,0.22
10234,549,0.2242372511827679,46160,39,1,7,16155,17,28,Rent,High School,Widowed,0,306945.0,5,0.22939204310393238,0.3793920431039324
10235,618,0.3062890566535652,119727,22,7,3,11377,16,1,Own,Masters,Divorced,7,136524.0,5,0.23587984060469497,0.38587984060469493
10236,428,0.0057328711865133,36428,26,9,1,18769,6,16,Mortgage,PhD,Widowed,4,225228.0,1,0.07,0.22
10237,600,0.5470288090504996,137391,30,7,5,15567,3,5,Mortgage,PhD,Widowed,15,124536.0,1,0.07809587064670614,0.22809587064670614
10238,794,0.3963312984953296,54659,63,4,11,4939,15,4,Rent,Masters,Widowed,0,103719.0,2,0.1948035487483872,0.3448035487483872
10239,699,0.0293933802581365,166213,58,4,10,5207,6,27,Mortgage,Masters,Widowed,10,15621.0,5,0.23984413607254826,0.38984413607254825
10240,586,0.2852236814345428,124812,20,4,6,6719,5,11,Rent,Masters,Divorced,9,60471.0,5,0.23381495150313317,0.38381495150313316
10241,847,0.2422963109980096,180024,62,7,0,18804,18,20,Mortgage,Bachelor,Widowed,12,319668.0,5,0.24596041823507556,0.39596041823507555
10242,497,0.2985188036367109,25837,21,3,15,8395,17,2,Own,High School,Widowed,15,50370.0,1,0.13623131245373116,0.2862313124537311
10243,621,0.2853733611432638,59583,54,4,13,2431,2,27,Rent,High School,Widowed,27,7293.0,4,0.25002779787432455,0.4000277978743245
10244,584,0.5705493818963653,52351,28,8,0,5656,19,4,Rent,Masters,Widowed,17,79184.0,2,0.19246937350844018,0.3424693735084402
10245,663,0.415327659119812,97153,70,9,5,8073,1,4,Mortgage,High School,Widowed,1,88803.0,1,0.07,0.22
10246,837,0.477704897053835,173255,32,5,6,12952,12,0,Own,Masters,Single,24,168376.0,1,0.17169291595863884,0.3216929159586388
10247,400,0.1448341194504039,183026,22,6,0,3565,0,10,Rent,High School,Single,2,10695.0,3,0.22266133764610613,0.3726613376461061
10248,734,0.1090103980199349,133521,39,7,17,11012,9,8,Own,Bachelor,Widowed,12,198216.0,3,0.22826859735398186,0.3782685973539819
10249,359,0.1844125486708624,76640,51,7,7,1232,5,10,Rent,Bachelor,Widowed,12,14784.0,5,0.2444617768525814,0.39446177685258144
10250,423,0.5212078717097506,125817,43,8,5,1417,3,11,Rent,Masters,Divorced,8,31174.0,4,0.24830971746305278,0.39830971746305277
10251,771,0.2675236157267554,28658,32,6,0,2247,0,4,Mortgage,Bachelor,Widowed,13,17976.0,2,0.19537117788458516,0.34537117788458516
10252,706,0.0782982656992204,176352,37,9,9,7267,6,6,Rent,Masters,Widowed,12,101738.0,2,0.18805472598649253,0.33805472598649255
10253,583,0.0528437273935195,156845,66,8,17,15116,2,23,Mortgage,High School,Divorced,21,151160.0,5,0.2574895213398554,0.4074895213398554
10254,485,0.0369355776731783,153860,24,4,4,16247,15,13,Rent,Masters,Single,3,341187.0,5,0.22331027159008143,0.37331027159008145
10255,431,0.4193409869019321,194172,19,5,8,14735,12,3,Mortgage,Masters,Single,7,73675.0,2,0.1988521936820874,0.3488521936820874
10256,824,0.1824631171091156,28144,18,6,2,6485,15,14,Mortgage,Masters,Widowed,27,136185.0,2,0.19281689657667841,0.3428168965766784
10257,785,0.0764755925927231,106513,28,8,4,4999,2,10,Rent,High School,Divorced,2,74985.0,3,0.22199902883481332,0.3719990288348133
10258,698,0.1399919925844149,79238,56,2,6,9158,8,8,Rent,Masters,Divorced,3,201476.0,5,0.2403642846341465,0.3903642846341465
10259,532,0.1210756219265292,157747,60,1,11,9747,16,14,Rent,Masters,Widowed,18,58482.0,4,0.24686925698057316,0.3968692569805732
10260,306,0.034708346800464,23143,35,9,1,17207,9,2,Mortgage,Masters,Single,24,258105.0,1,0.10511168923008388,0.25511168923008387
10261,686,0.2899902964134593,48129,33,4,14,14949,10,13,Mortgage,Masters,Widowed,14,209286.0,3,0.22512177540983822,0.3751217754098382
10262,779,0.5002292854773249,162227,54,4,1,2649,3,13,Rent,PhD,Widowed,26,37086.0,4,0.24999967844092852,0.39999967844092854
10263,325,0.4629941240225709,88452,35,2,19,10708,9,6,Rent,Masters,Widowed,19,128496.0,3,0.22657577149037866,0.3765757714903787
10264,790,0.9509191792383628,111013,36,6,4,19100,1,6,Rent,Masters,Widowed,29,191000.0,3,0.22594061741650892,0.3759406174165089
10265,554,0.5223320998743571,62723,26,7,11,19378,15,8,Rent,Masters,Widowed,25,116268.0,3,0.22532401838847013,0.3753240183884701
10266,629,0.1842307187695989,146446,79,3,1,12850,2,3,Rent,Bachelor,Widowed,10,218450.0,1,0.09583419268550367,0.24583419268550366
10267,602,0.0363398469553477,73493,30,9,9,9299,5,26,Mortgage,High School,Divorced,23,158083.0,5,0.24685341244885262,0.39685341244885264
10268,668,0.6065325507608454,189931,42,9,12,16179,9,4,Mortgage,Masters,Single,9,275043.0,2,0.19953280936114473,0.3495328093611447
10269,462,0.0052166483844642,105162,49,4,1,8531,17,7,Mortgage,High School,Divorced,12,145027.0,5,0.23425857685769172,0.3842585768576917
10270,467,0.2467323446416398,103150,86,2,16,12440,1,17,Rent,High School,Widowed,7,74640.0,1,0.10476228790128489,0.25476228790128486
10271,305,0.2155879584241495,195534,41,6,1,17979,9,9,Mortgage,Masters,Single,3,323622.0,3,0.2251235059067001,0.37512350590670007
10272,681,0.4068287311586744,192405,66,6,4,16605,18,9,Rent,Masters,Widowed,29,332100.0,4,0.2450162804343594,0.39501628043435943
10273,645,0.1793771367777925,180025,87,3,8,2598,7,0,Rent,High School,Single,2,20784.0,2,0.20296684555822586,0.3529668455582259
10274,422,0.1634206407947178,169317,76,3,2,5447,9,6,Rent,High School,Divorced,4,49023.0,3,0.22650962176920675,0.37650962176920677
10275,620,0.5660500594918558,156188,30,6,5,19669,13,11,Mortgage,High School,Divorced,12,118014.0,3,0.22772091352958412,0.37772091352958415
10276,753,0.0903068722426763,106445,62,8,8,15416,17,14,Rent,High School,Widowed,29,308320.0,2,0.19623604097762015,0.3462360409776202
10277,592,0.2790227696389956,110757,63,4,5,16964,9,3,Own,High School,Widowed,12,322316.0,2,0.19980510072898316,0.3498051007289832
10278,567,0.2559246404543662,85410,50,9,8,4428,1,3,Mortgage,Masters,Widowed,19,22140.0,1,0.07,0.22
10279,798,0.4010397382844137,145994,79,5,13,4744,14,16,Rent,Masters,Widowed,24,61672.0,5,0.25204341387083107,0.4020434138708311
10280,538,0.3351492976920408,185890,33,3,14,11931,5,20,Rent,Masters,Divorced,19,143172.0,5,0.2498526662841531,0.39985266628415306
10281,456,0.6654825385766813,24035,62,8,12,13943,12,2,Mortgage,Masters,Widowed,17,181259.0,1,0.09694365975779115,0.24694365975779115
10282,832,0.1479096541977698,75171,48,1,4,17878,3,9,Mortgage,Masters,Widowed,2,214536.0,3,0.2224692799157732,0.37246927991577317
10283,744,0.0544513613368576,105274,48,8,19,11913,14,0,Mortgage,Bachelor,Widowed,10,214434.0,2,0.19584354265461373,0.3458435426546137
10284,701,0.4191700712727865,154105,58,1,11,9667,18,20,Rent,High School,Widowed,12,67669.0,3,0.2278671204416889,0.3778671204416889
10285,764,0.0782403539268384,55324,47,2,1,5587,0,13,Rent,Masters,Widowed,9,39109.0,2,0.1929273036510589,0.3429273036510589
10286,653,0.2319556739092905,94842,19,8,7,6384,0,9,Own,High School,Widowed,18,19152.0,2,0.19473761353659533,0.3447376135365953
10287,636,0.8734768729600114,170582,25,9,4,10600,7,14,Own,Masters,Widowed,29,159000.0,5,0.2509176169182896,0.40091761691828964
10288,433,0.1688087051199935,82115,41,1,2,4215,0,2,Rent,High School,Widowed,9,29505.0,2,0.19430124859074294,0.34430124859074296
10289,672,0.4376393147037211,107626,73,7,11,2338,7,29,Rent,High School,Widowed,16,32732.0,5,0.25522999645854316,0.4052299964585432
10290,628,0.5035325362823829,146487,44,6,8,15976,8,3,Mortgage,High School,Widowed,24,239640.0,3,0.22527702088889645,0.3752770208888965
10291,639,0.2644662232566083,189286,83,6,9,13930,10,18,Rent,PhD,Widowed,18,139300.0,3,0.22945170177501906,0.3794517017750191
10292,809,0.1338588718714854,91998,71,9,13,2522,19,8,Mortgage,Masters,Widowed,24,25220.0,1,0.07,0.22
10293,844,0.3598776358162916,90596,30,3,1,9498,6,3,Mortgage,PhD,Widowed,18,132972.0,2,0.19674061785614586,0.34674061785614585
10294,444,0.1755000315825896,119635,31,8,18,9316,15,9,Rent,Masters,Single,6,111792.0,2,0.1985466638330164,0.34854666383301636
10295,738,0.080570550663289,182961,67,3,19,9519,0,15,Own,High School,Widowed,25,142785.0,3,0.22846280068829844,0.3784628006882984
10296,840,0.5544802484403546,127341,54,6,14,1956,17,9,Rent,Masters,Widowed,7,15648.0,4,0.2457094061486275,0.3957094061486275
10297,634,0.0505455828433781,121007,39,1,18,8216,8,9,Rent,Masters,Married,22,123240.0,4,0.25507916890829563,0.40507916890829565
10298,687,0.700546388159266,163393,47,3,14,17745,0,19,Rent,Masters,Widowed,2,35490.0,1,0.07464290024041113,0.22464290024041111
10299,634,0.2090041349227677,51862,81,3,9,19764,4,12,Rent,High School,Widowed,11,59292.0,4,0.2450380733015252,0.3950380733015252
10300,637,0.2429698898006356,77744,40,0,16,12342,14,26,Rent,High School,Widowed,12,209814.0,3,0.22782062015353702,0.377820620153537
10301,642,0.2354277362720596,194192,30,8,1,19938,4,14,Own,High School,Widowed,3,79752.0,1,0.07,0.22
10302,840,0.5949714265260786,107324,54,9,0,6005,9,19,Rent,High School,Widowed,18,24020.0,2,0.19608569451851865,0.34608569451851867
10303,416,0.2425829784295629,195093,37,9,15,14806,4,9,Rent,Masters,Married,7,177672.0,1,0.10330263072417752,0.2533026307241775
10304,635,0.0856592608686375,167079,30,6,3,17219,2,27,Own,Masters,Single,18,361599.0,5,0.25526742511506645,0.4052674251150664
10305,555,0.1691214188830544,62014,60,8,9,10136,6,19,Rent,Bachelor,Widowed,1,192584.0,1,0.10800617933004335,0.25800617933004333
10306,732,0.5293984852353579,48768,70,8,0,7419,1,6,Own,High School,Divorced,2,148380.0,3,0.22841701159728775,0.37841701159728774
10307,337,0.1314002807258232,57425,31,3,1,9737,2,0,Own,Masters,Widowed,22,165529.0,1,0.0769580815748447,0.2269580815748447
10308,843,0.4452381349989597,140410,22,2,13,4778,15,6,Mortgage,High School,Widowed,18,57336.0,2,0.19691804051672107,0.34691804051672104
10309,550,0.5062362143036565,34724,19,2,2,5521,18,16,Own,High School,Widowed,29,88336.0,5,0.25076454293902073,0.40076454293902075
10310,305,0.1282472368588418,27893,58,5,13,18253,13,11,Rent,Masters,Widowed,0,109518.0,1,0.07,0.22
10311,467,0.3633949091779618,110470,63,8,13,8012,14,11,Mortgage,High School,Widowed,16,32048.0,1,0.0977578039755844,0.2477578039755844
10312,711,0.6854185459638037,118712,37,5,8,9834,2,23,Mortgage,High School,Widowed,12,29502.0,2,0.19896289616447466,0.3489628961644746
10313,819,0.5280978502324892,111045,60,1,7,8794,1,9,Mortgage,Masters,Widowed,29,35176.0,2,0.20066759674717663,0.3506675967471766
10314,805,0.8401936117582732,160635,53,8,2,3170,5,7,Rent,Masters,Divorced,5,28530.0,2,0.19988008386410017,0.3498800838641002
10315,633,0.3282635270661861,70124,28,5,10,10999,16,25,Rent,Masters,Widowed,14,120989.0,4,0.245534598881572,0.395534598881572
10316,839,0.1312555743962757,187702,26,5,0,7869,8,9,Rent,High School,Widowed,5,78690.0,4,0.2371811985522155,0.3871811985522155
10317,784,0.3340513857630176,115060,51,7,4,14791,8,5,Rent,Masters,Widowed,2,266238.0,1,0.07,0.22
10318,575,0.1360806978430077,41682,57,9,8,7314,5,19,Rent,Masters,Widowed,26,36570.0,1,0.07,0.22
10319,699,0.3393965830051342,67016,60,0,16,19876,17,5,Rent,Masters,Widowed,8,178884.0,1,0.08808424722313243,0.23808424722313243
10320,622,0.4356757301904979,37232,36,7,8,11705,15,26,Rent,High School,Widowed,22,210690.0,4,0.246652147643331,0.396652147643331
10321,327,0.0554513622156525,70925,34,9,12,12727,8,21,Rent,Masters,Divorced,20,63635.0,5,0.23847569690174011,0.3884756969017401
10322,824,0.2249943339772819,170436,75,6,8,14624,0,22,Mortgage,PhD,Widowed,7,58496.0,2,0.19948680736609156,0.34948680736609156
10323,489,0.3531166693764014,158443,22,3,1,2325,2,24,Rent,Masters,Widowed,6,44175.0,4,0.2433016677643604,0.3933016677643604
10324,818,0.1994095749697837,140448,44,5,7,8848,0,20,Rent,Bachelor,Widowed,10,159264.0,2,0.1982112644536581,0.34821126445365813
10325,589,0.3243649883350969,55491,63,9,2,18281,3,12,Mortgage,Masters,Divorced,11,73124.0,3,0.22659508199657144,0.37659508199657143
10326,595,0.3843940142978892,159570,86,9,13,2176,9,11,Own,High School,Widowed,1,21760.0,4,0.24708200849620934,0.39708200849620934
10327,320,0.0635154122476121,25075,38,5,7,1196,6,19,Mortgage,High School,Divorced,18,23920.0,1,0.17969342735812865,0.3296934273581287
10328,776,0.4205209466448786,187973,30,7,4,5794,12,2,Own,High School,Single,8,52146.0,1,0.15020168210135626,0.3002016821013562
10329,693,0.0289397152384279,73684,59,4,0,12216,2,20,Mortgage,Bachelor,Widowed,9,146592.0,3,0.2267973281429059,0.3767973281429059
10330,673,0.1156196769667265,103261,60,6,14,15450,12,23,Mortgage,PhD,Widowed,23,339900.0,3,0.23017601117859499,0.380176011178595
10331,752,0.9107685013972164,161136,83,6,9,2093,0,8,Rent,High School,Widowed,14,18837.0,3,0.2275704554175803,0.3775704554175803
10332,812,0.1439456911962903,179676,22,6,9,4680,16,3,Own,High School,Widowed,21,14040.0,4,0.24351096782871834,0.3935109678287183
10333,717,0.2133517951275785,168375,26,7,10,12300,3,12,Mortgage,Masters,Divorced,1,49200.0,2,0.19555998525257887,0.34555998525257886
10334,757,0.2950009614185732,64446,41,6,17,17197,0,25,Rent,Masters,Divorced,6,137576.0,4,0.24967381761236224,0.3996738176123622
10335,689,0.1310757171577732,189065,46,6,5,16745,2,2,Own,High School,Widowed,17,83725.0,3,0.22338932280751506,0.373389322807515
10336,361,0.4580132006709969,73719,34,9,8,12459,14,8,Mortgage,Masters,Single,13,199344.0,1,0.16269617598297884,0.31269617598297883
10337,689,0.7491085505222805,91763,41,0,14,18966,2,13,Rent,Masters,Widowed,26,341388.0,1,0.12953238897131086,0.27953238897131083
10338,339,0.3131986925877645,49391,31,2,6,12798,16,2,Rent,Masters,Widowed,23,89586.0,4,0.2449775897047208,0.3949775897047208
10339,594,0.2031509206110281,186173,71,4,12,2905,10,22,Rent,High School,Widowed,15,46480.0,4,0.24735065857218633,0.3973506585721863
10340,665,0.3091467689118898,67639,48,8,0,17608,11,3,Rent,High School,Widowed,27,264120.0,4,0.24076185747911003,0.39076185747911
10341,358,0.1193896787353502,20082,27,9,11,9768,8,3,Mortgage,Masters,Single,28,175824.0,1,0.13176715159670277,0.28176715159670274
10342,746,0.624298725215921,131712,26,7,4,13761,12,22,Mortgage,High School,Widowed,15,68805.0,2,0.19646104430713485,0.34646104430713487
10343,360,0.3694259521617492,26986,35,1,16,15809,15,6,Own,Masters,Widowed,20,237135.0,3,0.22924956779639152,0.3792495677963915
10344,662,0.9697327565869648,82873,60,5,12,16372,3,0,Rent,Masters,Widowed,29,163720.0,3,0.22841167896519687,0.3784116789651969
10345,788,0.132086510010329,164509,48,9,3,18185,3,27,Own,High School,Divorced,10,327330.0,5,0.2525999015011648,0.40259990150116476
10346,733,0.6008485431731359,47358,82,3,4,7755,18,0,Rent,Masters,Widowed,0,77550.0,2,0.19731908221835118,0.34731908221835117
10347,754,0.0630293168877644,93965,60,5,10,6016,14,6,Mortgage,High School,Widowed,25,66176.0,1,0.07,0.22
10348,752,0.3465111336855802,167417,29,7,14,14672,7,16,Rent,Masters,Widowed,12,176064.0,1,0.07,0.22
10349,357,0.3157768738939535,42046,72,7,2,17632,1,4,Rent,Masters,Married,19,123424.0,1,0.14387019209978474,0.2938701920997847
10350,793,0.0097820511345129,114747,22,8,14,9010,14,8,Mortgage,Masters,Widowed,7,99110.0,3,0.22047323142657194,0.37047323142657196
10351,592,0.3133704168418351,134371,87,3,3,4965,10,3,Rent,High School,Widowed,24,14895.0,1,0.09517360142926251,0.2451736014292625
10352,489,0.7347852103535717,166106,29,5,1,12358,1,5,Own,High School,Widowed,13,49432.0,3,0.2255221439700304,0.37552214397003036
10353,610,0.1558479624208305,198521,58,8,2,6973,10,27,Own,High School,Widowed,14,62757.0,5,0.2441525132456203,0.3941525132456203
10354,705,0.9545009762329432,140452,25,8,6,1230,13,3,Mortgage,Masters,Widowed,3,23370.0,3,0.2233301563900185,0.3733301563900185
10355,403,0.2724108326562175,55397,83,9,5,17172,13,12,Rent,Masters,Widowed,24,240408.0,5,0.23511552428283566,0.3851155242828357
10356,819,0.0886805457517706,42238,22,7,16,7821,8,9,Mortgage,Masters,Widowed,25,125136.0,3,0.22308290930606653,0.3730829093060665
10357,706,0.13563723321194,85407,42,3,18,6991,6,13,Rent,Masters,Divorced,25,34955.0,5,0.2537965611962727,0.4037965611962727
10358,837,0.0733632518599233,126944,81,0,8,9522,12,24,Mortgage,High School,Widowed,12,199962.0,5,0.24983092260328613,0.3998309226032861
10359,677,0.0550606114189681,153520,62,2,0,4286,10,7,Own,High School,Widowed,26,42860.0,3,0.2262018663427853,0.3762018663427853
10360,461,0.146540418776271,146019,80,7,10,12011,16,10,Rent,Masters,Widowed,2,240220.0,3,0.22385454143637704,0.37385454143637703
10361,537,0.9423241086041324,153501,31,4,9,6195,0,6,Rent,Masters,Widowed,12,117705.0,2,0.19697064432585093,0.3469706443258509
10362,846,0.3581438023186625,119864,83,2,15,10921,3,8,Mortgage,High School,Widowed,19,76447.0,2,0.20145080803899298,0.351450808038993
10363,359,0.3398528298018389,38414,64,1,3,12573,4,1,Own,High School,Widowed,18,276606.0,3,0.22801710189011706,0.37801710189011706
10364,788,0.2717280667206765,69272,49,0,13,10955,19,2,Rent,Bachelor,Widowed,15,153370.0,1,0.1631005879740885,0.31310058797408846
10365,775,0.0690079143887099,105451,80,5,18,7393,8,8,Rent,Bachelor,Widowed,23,36965.0,2,0.20252189436318654,0.35252189436318654
10366,602,0.0470983346191057,169607,20,7,3,18166,8,22,Rent,High School,Divorced,2,36332.0,3,0.22328535150440829,0.3732853515044083
10367,368,0.1897681462107644,33679,68,8,12,4442,7,14,Own,High School,Widowed,25,84398.0,5,0.25657823398128593,0.4065782339812859
10368,566,0.670790723449354,60159,79,8,0,4333,11,9,Own,High School,Widowed,3,17332.0,1,0.1324482599686611,0.2824482599686611
10369,388,0.695752755764874,38135,24,9,5,16190,12,0,Mortgage,Masters,Widowed,11,145710.0,1,0.07,0.22
10370,823,0.6795955089566378,88531,43,0,6,6930,8,1,Rent,High School,Widowed,2,69300.0,3,0.2246784734923852,0.3746784734923852
10371,325,0.0230970829214485,159616,35,0,8,10418,5,2,Rent,High School,Married,1,104180.0,5,0.23980976193490716,0.38980976193490713
10372,544,0.4923780594332299,167232,47,8,5,1498,9,5,Mortgage,High School,Widowed,11,19474.0,3,0.22327398416221692,0.3732739841622169
10373,676,0.7687461088914361,143470,88,6,14,6802,1,4,Rent,Masters,Widowed,29,136040.0,1,0.10639830318013171,0.2563983031801317
10374,302,0.0437044908073318,139650,37,3,4,3110,11,1,Mortgage,High School,Widowed,2,9330.0,2,0.19246041199093036,0.34246041199093036
10375,592,0.3473893747923193,133062,76,9,6,3508,2,12,Own,High School,Widowed,23,38588.0,4,0.24774020698642696,0.397740206986427
10376,714,0.0506244982948149,173873,66,8,19,15427,3,10,Rent,Masters,Single,6,339394.0,1,0.07659408943775074,0.22659408943775072
10377,723,0.170662140322539,198131,80,9,7,6491,2,7,Own,Masters,Widowed,16,103856.0,5,0.24441377530266617,0.3944137753026662
10378,673,0.669828871557815,199240,38,6,17,8518,18,9,Rent,Masters,Widowed,16,187396.0,5,0.2350234770090481,0.3850234770090481
10379,619,0.5487292934479051,166663,56,1,18,13956,12,8,Rent,Masters,Widowed,20,83736.0,1,0.12169581073038338,0.2716958107303834
10380,521,0.3676882929948928,35688,49,9,18,11774,2,16,Rent,Bachelor,Widowed,13,47096.0,2,0.20018719713786526,0.3501871971378653
10381,618,0.0788535791654737,154275,23,7,3,15374,12,13,Own,High School,Single,11,199862.0,3,0.22683836177410427,0.37683836177410424
10382,457,0.715356507712254,186305,35,8,3,5345,11,11,Own,Masters,Divorced,3,16035.0,5,0.2548605557672377,0.4048605557672377
10383,742,0.0535339647361408,172205,50,5,1,9460,4,14,Own,High School,Single,3,28380.0,5,0.25058093245149693,0.40058093245149695
10384,620,0.5448342068157916,137859,73,8,19,19687,2,5,Rent,Bachelor,Widowed,2,393740.0,5,0.2522414896760764,0.4022414896760764
10385,625,0.1421935834475235,143404,32,1,19,19648,18,29,Rent,High School,Divorced,9,353664.0,5,0.24721921109914113,0.39721921109914116
10386,404,0.1044173205943227,103177,59,5,0,11712,2,21,Mortgage,Masters,Divorced,12,35136.0,5,0.24747268865729002,0.39747268865729
10387,801,0.0139318374822825,30096,45,8,5,5659,1,5,Own,Bachelor,Widowed,14,84885.0,5,0.25096405010174855,0.4009640501017485
10388,542,0.3766850037839215,126570,53,9,8,5770,3,3,Mortgage,Bachelor,Widowed,17,23080.0,5,0.24879104120188986,0.39879104120188985
10389,701,0.7228064957684504,33199,41,4,0,18482,14,15,Rent,Masters,Widowed,5,203302.0,4,0.24445117583941461,0.3944511758394146
10390,321,0.5652362855875587,175328,69,8,5,2710,2,3,Rent,High School,Widowed,3,21680.0,1,0.07,0.22
10391,685,0.0824550373179013,144717,74,2,10,3639,2,6,Rent,Masters,Widowed,12,65502.0,2,0.19572821591512507,0.34572821591512504
10392,613,0.6877086463600056,179610,45,6,3,18121,12,0,Own,Bachelor,Widowed,2,36242.0,5,0.24999364158401843,0.3999936415840184
10393,801,0.4473905516219166,148478,56,6,1,8689,13,19,Mortgage,Masters,Widowed,12,182469.0,2,0.19588486835634747,0.34588486835634746
10394,637,0.2287438531031993,45814,18,9,7,13199,13,20,Rent,Masters,Divorced,19,79194.0,4,0.24680737074799727,0.39680737074799727
10395,520,0.2086808625397562,153385,37,2,17,10059,4,2,Rent,Bachelor,Widowed,8,211239.0,2,0.1988869852796718,0.34888698527967177
10396,612,0.4530717550378198,198549,27,5,6,18512,4,7,Rent,Bachelor,Widowed,23,129584.0,3,0.22666944644972034,0.37666944644972034
10397,801,0.43759655483027,183990,78,2,3,2294,0,9,Mortgage,Masters,Widowed,10,22940.0,4,0.24558932705784942,0.39558932705784944
10398,767,0.1017008145038689,116797,28,1,19,1820,14,13,Own,High School,Widowed,9,14560.0,4,0.248532782620216,0.39853278262021596
10399,492,0.0049150845358437,176047,88,7,17,15948,17,25,Rent,High School,Widowed,6,175428.0,3,0.22671687235297297,0.37671687235297296
